asset,date,br
514,2019,2.22E-05
514,2020,0
514,2021,0
516,2014,0
516,2015,0
516,2016,1.45E-05
516,2017,0
516,2018,0
516,2019,0
516,2020,1.03E-05
516,2021,9.29E-06
517,2014,0
517,2015,0
517,2016,0
517,2017,0
517,2018,0
517,2019,0
517,2020,0
517,2021,0
518,2014,0
518,2015,0
518,2016,0
518,2017,0
518,2018,0
518,2019,0
518,2020,0
518,2021,0
519,2014,0
519,2015,0
519,2016,1.06E-05
519,2017,0
519,2018,0
519,2019,0
519,2020,1.86E-05
519,2021,9.75E-06
520,2014,0
520,2015,0
520,2016,0
520,2017,2.89E-05
520,2018,0
520,2019,0
520,2020,0
520,2021,0
521,2014,0
521,2015,0
521,2016,0
521,2017,0
521,2018,0
521,2019,0
521,2020,0
521,2021,0
523,2014,0
523,2015,0
523,2016,0
523,2017,3.42E-05
523,2018,5.04E-05
523,2019,2.11E-05
523,2020,0
523,2021,0
524,2014,0
524,2015,0
524,2016,0
524,2017,2.99E-05
524,2018,4.79E-05
524,2019,1.63E-05
524,2020,0
524,2021,8.50E-06
525,2014,0
525,2015,0
525,2016,0
525,2017,0
525,2018,0
525,2019,0
525,2020,0
525,2021,0
526,2014,0
526,2015,0
526,2016,0
526,2017,0
526,2018,0
526,2019,0
526,2020,0
526,2021,0
528,2014,1.02E-05
528,2015,2.11E-05
528,2016,0.000126078
528,2017,9.80E-05
528,2018,3.46E-05
528,2019,3.25E-05
528,2020,2.52E-05
528,2021,2.05E-05
529,2014,0
529,2015,0
529,2016,0
529,2017,0
529,2018,0
529,2019,0
529,2020,0
529,2021,0
530,2014,0
530,2015,0
530,2016,0
530,2017,0
530,2018,0
530,2019,1.27E-05
530,2020,0
530,2021,0
531,2014,0
531,2015,0
531,2016,0
531,2017,0
531,2018,0
531,2019,0
531,2020,0
531,2021,1.03E-05
532,2014,0
532,2015,0
532,2016,0
532,2017,0
532,2018,0
532,2019,0
532,2020,0
532,2021,0
533,2014,0
533,2015,7.13E-05
533,2016,0
533,2017,1.12E-05
533,2018,2.23E-05
533,2019,3.39E-05
533,2020,1.16E-05
533,2021,1.45E-05
534,2014,0
534,2015,0
534,2016,0
534,2017,0
534,2018,0
534,2019,0
534,2020,0
534,2021,0
536,2014,0
536,2015,0
536,2016,0
536,2017,0
536,2018,0
536,2019,0
536,2020,0
536,2021,0
537,2014,0
537,2015,0
537,2016,0
537,2017,0
537,2018,0
537,2019,0
537,2020,0
537,2021,1.60E-05
538,2014,0
538,2015,0
538,2016,0
538,2017,0
538,2018,0
538,2019,0
538,2020,0
538,2021,0
539,2014,0
539,2015,0
539,2016,0
539,2017,0
539,2018,0
539,2019,0
539,2020,0
539,2021,0
540,2014,0
540,2015,0
540,2016,2.68E-05
540,2017,7.03E-06
540,2018,0
540,2019,0
540,2020,0
540,2021,0
541,2014,0
541,2015,0
541,2016,0
541,2017,0
541,2018,0
541,2019,1.09E-05
541,2020,0
541,2021,0
543,2014,0
543,2015,0
543,2016,0
543,2017,0
543,2018,0
543,2019,0
543,2020,0
543,2021,0
544,2014,0
544,2015,0
544,2016,0
544,2017,0
544,2018,0
544,2019,0
544,2020,0
544,2021,0
545,2014,0
545,2015,0
545,2016,0
545,2017,0
545,2018,0
545,2019,0
545,2020,0
545,2021,0
546,2014,0
546,2015,0
546,2016,1.99E-05
546,2017,7.82E-06
546,2018,0
546,2019,0
546,2020,0
546,2021,0
547,2014,0
547,2015,0
547,2016,0
547,2017,0
547,2018,0
547,2019,0
547,2020,0
547,2021,0
548,2014,0
548,2015,1.21E-05
548,2016,2.08E-05
548,2017,2.28E-05
548,2018,1.23E-05
548,2019,0
548,2020,1.11E-05
548,2021,0
550,2014,0
550,2015,1.31E-05
550,2016,1.24E-05
550,2017,0
550,2018,0
550,2019,0
550,2020,0
550,2021,0
551,2014,0
551,2015,2.76E-05
551,2016,6.58E-05
551,2017,3.82E-05
551,2018,8.10E-05
551,2019,8.66E-05
551,2020,3.88E-05
551,2021,3.56E-05
552,2014,0
552,2015,2.43E-05
552,2016,2.36E-05
552,2017,0
552,2018,1.18E-05
552,2019,0
552,2020,0
552,2021,0
553,2014,0
553,2015,0
553,2016,0
553,2017,0
553,2018,0
553,2019,0
553,2020,0
553,2021,0
554,2014,0
554,2015,0
554,2016,0
554,2017,1.83E-05
554,2018,0
554,2019,0
554,2020,0
554,2021,0
555,2014,0
555,2015,0
555,2016,0
555,2017,0
555,2018,0
555,2019,0
555,2020,7.65E-06
555,2021,0
557,2014,0
557,2015,0
557,2016,0
557,2017,0
557,2018,0
557,2019,0
